TimeStamp;OrderId;OrderStatus;VehicleId;
10132;858795;IN_PROGRESS;34;
10132;724010;IN_PROGRESS;34;
10160;591016;UNASSIGNED;-1;
10161;591016;ASSIGNED;6;
10210;581395;UNASSIGNED;-1;
10211;581395;ASSIGNED;15;
10231;496550;DELIVERED;24;
10258;930447;IN_PROGRESS;49;
10264;968731;DELIVERED;41;
10300;83782;DELIVERED;2;
10367;165308;IN_PROGRESS;39;
10367;109253;IN_PROGRESS;39;
10367;576588;IN_PROGRESS;39;
10571;341379;IN_PROGRESS;27;
10590;129127;IN_PROGRESS;41;
10681;64109;UNASSIGNED;-1;
10682;64109;ASSIGNED;17;
10736;591016;IN_PROGRESS;6;
10770;552878;DELIVERED;10;
10792;410435;IN_PROGRESS;19;
10799;368353;DELIVERED;2;
10830;520252;DELIVERED;32;
11030;189186;UNASSIGNED;-1;
11031;189186;ASSIGNED;4;
11078;188505;UNASSIGNED;-1;
11079;188505;ASSIGNED;2;
11084;576588;DELIVERED;39;
11092;793236;DELIVERED;42;
11143;856202;DELIVERED;44;
11179;930755;DELIVERED;3;
11179;344746;DELIVERED;3;
11180;734122;UNASSIGNED;-1;
11181;734122;ASSIGNED;34;
11225;628572;UNASSIGNED;-1;
11226;628572;ASSIGNED;12;
11279;188505;IN_PROGRESS;2;
11326;876800;DELIVERED;8;
11371;87304;UNASSIGNED;-1;
11372;87304;ASSIGNED;5;
11390;134726;DELIVERED;10;
11393;930447;DELIVERED;49;
11420;974640;UNASSIGNED;-1;
11421;974640;ASSIGNED;16;
11481;691228;IN_PROGRESS;47;
11512;64109;IN_PROGRESS;17;
11597;256988;DELIVERED;1;
11613;628572;IN_PROGRESS;12;
11626;581395;IN_PROGRESS;15;
11645;168422;UNASSIGNED;-1;
11646;168422;ASSIGNED;20;
11728;802858;DELIVERED;35;
11790;607990;UNASSIGNED;-1;
11791;607990;ASSIGNED;12;
11837;657100;DELIVERED;38;
11887;974640;IN_PROGRESS;16;
11890;415364;DELIVERED;49;
11910;507218;UNASSIGNED;-1;
11911;507218;ASSIGNED;37;
12010;930669;UNASSIGNED;-1;
12011;930669;ASSIGNED;46;
12030;784497;UNASSIGNED;-1;
12031;784497;ASSIGNED;49;
12114;52254;DELIVERED;36;
12190;483202;DELIVERED;24;
12234;996872;UNASSIGNED;-1;
12235;996872;ASSIGNED;36;
12264;948047;IN_PROGRESS;28;
12264;747601;IN_PROGRESS;28;
12264;382243;IN_PROGRESS;28;
12303;896814;DELIVERED;35;
12303;456236;DELIVERED;35;
12364;618557;DELIVERED;8;
12421;32488;DELIVERED;38;
12421;398736;DELIVERED;1;
